Team_0 (started DFD 1st H),Team_1 (started ATK 1st H),Bind,Haven,Split,Ascent,Icebox,Breeze,Team_0 ACS,Team_0 K,Team_0 D,Team_0 A,Team_0 KD,Team_0 ADR,Team_0 HS,Team_0 ESR,Team_0 FB,Team_0 FD,Team_1 ACS,Team_1 K,Team_1 D,Team_1 A,Team_1 KD,Team_1 ADR,Team_1 HS,Team_1 ESR,Team_1 FB,Team_1 FD,Winner
Kansas City Pioneers,Virtuoso,0,0,0,1,0,0,240.8,13.8,8.2,5.4,1.683,145.62,23.8,52.6,2,1.2,151,8.2,13.8,2.8,0.594,89.42,22.6,31,1.2,2,0
Virtuoso,Kansas City Pioneers,1,0,0,0,0,0,146.2,8.6,16,2.4,0.537,92.9,23,16.4,0.8,2.8,234.2,16,8.6,3.6,1.86,133.76,29.4,73.4,2.8,0.8,1
Rise,Cloud9 Blue,0,0,1,0,0,0,237.4,17,12,5.8,1.308,149.36,19.8,46.2,2.4,1.6,189.4,12.8,17,5.8,0.753,114.64,18.8,48.8,1.6,2.4,0
Cloud9 Blue,Rise,0,0,0,1,0,0,196,16,18.2,7,0.879,124.02,20,34.8,2,2.8,216,18.2,16,6.4,1.137,142.28,24.4,62.6,2.8,2,1
Luminosity Gaming,Version1,0,1,0,0,0,0,205,15,16,5.6,0.938,145.94,27,54.2,2.4,1.8,211.2,16,15,7.4,1.067,134.58,20.2,28.8,1.8,2.4,1
Version1,Luminosity Gaming,0,0,1,0,0,0,223.2,16.6,13.4,6.8,1.239,130.6,19,33.2,1.6,2.6,191.6,13.4,16.6,5.2,0.807,135.24,25.8,49,2.6,1.6,0
Andbox,GenG Esports,0,0,0,0,0,1,169.2,10,15.8,3.6,0.633,105.7,26.2,21.4,1,2.6,240,15.8,10,5.6,1.58,151.42,28.4,56,2.6,1,1
Andbox,GenG Esports,0,0,0,0,1,0,206.6,18.4,18.6,4.8,0.989,129.4,21.4,46.6,2.4,2.8,207.6,18.6,18.4,8.8,1.011,138.84,17.4,59.2,2.8,2.4,0
GenG Esports,Andbox,0,0,1,0,0,0,231.4,15.8,11,8.6,1.436,155.14,19,60,2.8,1,175.2,11,15.8,3,0.696,117.74,16.6,24.8,1,2.8,0
Noble,100 Thieves,0,1,0,0,0,0,80.4,14.6,16.4,5.6,0.89,44.52,21,38.4,0.8,1,76.6,16.4,14.6,5.4,1.123,52.04,15.8,58,1,0.8,1
100 Thieves,Noble,0,0,0,0,1,0,196.2,14.4,17.4,4.2,0.828,126,23.4,33.8,1.6,2.8,216.2,17.4,14.4,5.4,1.208,142.38,23.6,62.4,2.8,1.6,1
Noble,100 Thieves,0,0,0,1,0,0,187.6,12.4,14.8,7,0.838,124.38,17.4,44.2,2.2,2,205,14.8,12.4,5.8,1.194,123.64,25,53.2,2,2.2,1
T1,Envy,0,0,1,0,0,0,225,14.6,9.2,4.4,1.587,142.72,27.4,58,2.4,1.2,157,9.2,14.6,2.4,0.63,108.66,27.6,22.2,1.2,2.4,0
Envy,T1,1,0,0,0,0,0,108.6,16.8,16,5,1.05,131.92,25.4,46.6,2.2,2.4,196.2,16,16.8,9.4,0.952,119.2,20,37.2,2.4,2.2,0
T1,Envy,0,1,0,0,0,0,155,6,13,2.4,0.462,91.54,26.2,25,0.8,1.8,253.6,13,6,3.6,2.167,150.48,25,73.4,1.8,0.8,1
Sentinels,Soniqs,0,0,0,0,1,0,217.6,14.8,16,4,0.925,165.78,24.2,42.2,2.2,1.8,225.6,16,14.8,6.2,1.081,143.1,22,38.4,1.8,2.2,1
Soniqs,Sentinels,1,0,0,0,0,0,201,12.2,15.6,3.4,0.782,117.36,17.4,53.2,1.8,1.8,235.4,15.6,12.2,5.8,1.279,140.4,20.4,57.8,1.8,1.8,1
Sentinels,Soniqs,0,1,0,0,0,0,228.2,14.4,10.2,4.4,1.412,127.3,18.4,53.2,2.4,1.2,174.4,10.2,14.4,4.2,0.708,126.24,26.6,27.4,1.2,2.4,0
DarkZero Esports,XSET,0,0,0,0,1,0,198.2,15,16.4,5.6,0.915,129.58,26.2,60,2.2,2.2,214.2,16.4,15,6.8,1.093,138.08,22.6,42.8,2.2,2.2,1
XSET,DarkZero Esports,0,0,0,1,0,0,210.4,16.8,16.6,7.6,1.012,129.84,14.6,51.6,2.2,2.4,207.4,16.6,16.8,6.6,0.988,156.22,24,45.4,2.4,2.2,1
DarkZero Esports,XSET,0,0,0,0,0,1,175,13.2,16.6,5.8,0.795,115.02,23.8,38,2.2,2.2,204.6,16.6,13.2,4.2,1.258,125.74,23,33.6,2.2,2.2,1
Sentinels,Evil Geniuses,0,0,0,0,1,0,227.4,18.4,14.6,7.6,1.26,142.08,24.2,63.4,2.8,1.8,188.8,14.6,18.6,3.4,0.785,136.7,26.4,53.2,1.8,2.8,0
Evil Geniuses,Sentinels,0,1,0,0,0,0,191.4,11.6,16.2,4.2,0.716,131,21.4,34.2,1.4,2.4,233.4,16.2,11.6,5.8,1.397,157.46,21.6,66.4,2.4,1.4,1
