Team_0 (started DFD 1st H),Team_1 (started ATK 1st H),Bind,Haven,Split,Ascent,Icebox,Breeze,Team_0_P1,Team_0_P2,Team_0_P3,Team_0_P4,Team_0_P5,Team_1_P1,Team_1_P2,Team_1_P3,Team_1_P4,Team_1_P5,Winner
Kansas City Pioneers,Virtuoso,0,0,0,1,0,0,1.09,1.09,1.01,1.15,1.04,0.99,0.95,1.04,0.97,1.14,0
Virtuoso,Kansas City Pioneers,1,0,0,0,0,0,0.99,0.95,1.04,0.97,1.14,1.09,1.09,1.01,1.15,1.04,1
Rise,Cloud9 Blue,0,0,1,0,0,0,1.09,1.1,1.16,1.04,1.07,1.22,0.85,1.1,1.09,1.07,0
Cloud9 Blue,Rise,0,0,0,1,0,0,1.22,0.85,1.1,1.09,1.07,1.09,1.1,1.16,1.04,1.07,1
Luminosity Gaming,Version1,0,1,0,0,0,0,1.15,1.05,1.09,1.07,1.17,1.19,1.03,1.11,1.04,1.01,1
Version1,Luminosity Gaming,0,0,1,0,0,0,1.19,1.03,1.11,1.04,1.01,1.15,1.05,1.09,1.07,1.17,0
Andbox,GenG Esports,0,0,0,0,0,1,1.27,0.98,1.15,1.02,0.98,1.11,0.96,1.24,0.95,0.99,1
Andbox,GenG Esports,0,0,0,0,1,0,1.27,0.98,1.15,1.02,0.98,1.11,0.96,1.24,0.95,0.99,0
GenG Esports,Andbox,0,0,1,0,0,0,1.11,0.96,1.24,0.95,0.99,1.27,0.98,1.15,1.02,0.98,0
Noble,100 Thieves,0,1,0,0,0,0,1.19,1.09,0.98,1.06,0.9,1.26,1.08,1.08,1.05,0.91,1
100 Thieves,Noble,0,0,0,0,1,0,1.26,1.08,1.08,1.05,0.91,1.19,1.09,0.98,1.06,0.9,1
Noble,100 Thieves,0,0,0,1,0,0,1.19,1.09,0.98,1.06,0.9,1.26,1.08,1.08,1.05,0.91,1
T1,Envy,0,0,1,0,0,0,1.14,1.13,1.09,1.04,1.14,1.24,1.16,0.99,1.09,0.91,0
Envy,T1,1,0,0,0,0,0,1.24,1.16,0.99,1.09,0.91,1.14,1.13,1.09,1.04,1.14,0
T1,Envy,0,1,0,0,0,0,1.14,1.13,1.09,1.04,1.14,1.24,1.16,0.99,1.09,0.91,1
Sentinels,Soniqs,0,0,0,0,1,0,1.07,1.3,1.22,1.05,0.9,1.1,1.04,1.29,1.09,1.21,1
Soniqs,Sentinels,1,0,0,0,0,0,1.1,1.04,1.29,1.09,1.21,1.07,1.3,1.22,1.05,0.9,1
Sentinels,Soniqs,0,1,0,0,0,0,1.07,1.3,1.22,1.05,0.9,1.1,1.04,1.29,1.09,1.21,0
DarkZero Esports,XSET,0,0,0,0,1,0,1.16,1.02,1.02,1.17,1.09,1.11,1.32,1.01,1,1.09,1
XSET,DarkZero Esports,0,0,0,1,0,0,1.11,1.32,1.01,1,1.09,1.16,1.02,1.02,1.17,1.09,1
DarkZero Esports,XSET,0,0,0,0,0,1,1.16,1.02,1.02,1.17,1.09,1.11,1.32,1.01,1,1.09,1
Sentinels,Evil Geniuses,0,0,0,0,1,0,1.07,1.3,1.22,1.05,0.9,1.2,1.05,1.03,1.07,0.75,0
Evil Geniuses,Sentinels,0,1,0,0,0,0,1.2,1.05,1.03,1.07,0.75,1.07,1.3,1.22,1.05,0.9,1
Renegades,Soniqs,0,0,0,0,1,0,1.19,1.19,1.17,1.09,1.04,1.1,1.04,1.29,1.09,1.21,1
Soniqs,Renegades,0,0,0,0,0,1,1.1,1.04,1.29,1.09,1.21,1.19,1.19,1.17,1.09,1.04,0
Team Insight,XSET,0,0,0,0,1,0,1.03,0.92,1.07,1,0.92,1.11,1.32,1.01,1,1.09,1
XSET,Team Insight,0,0,1,0,0,0,1.11,1.32,1.01,1,1.09,1.03,0.92,1.07,1,0.92,0
DarkZero Esports,Faze Clan,0,0,0,1,0,0,1.16,1.02,1.02,1.17,1.09,1.21,0.97,0.96,0.96,1.21,0
Faze Clan,DarkZero Esports,0,1,0,0,0,0,1.21,0.97,0.96,0.96,1.21,1.16,1.02,1.02,1.17,1.09,0
DarkZero Esports,Faze Clan,0,0,0,0,1,0,1.16,1.02,1.02,1.17,1.09,1.21,0.97,0.96,0.96,1.21,0
Squirtle Squad,Envy,1,0,0,0,0,0,1.18,1.03,1.05,1.03,1.16,1.24,1.16,0.99,1.09,0.91,1
Envy,Squirtle Squad,0,0,0,1,0,0,1.24,1.16,0.99,1.09,0.91,1.18,1.03,1.05,1.03,1.16,0
Ghost Gaming,T1,0,0,1,0,0,0,1.27,1.03,1.03,1.25,0.99,1.14,1.13,1.09,1.04,1.14,0
T1,Ghost Gaming,0,1,0,0,0,0,1.14,1.13,1.09,1.04,1.14,1.27,1.03,1.03,1.25,0.99,0
Ghost Gaming,T1,1,0,0,0,0,0,1.27,1.03,1.03,1.25,0.99,1.14,1.13,1.09,1.04,1.14,1
SoaR,100 Thieves,0,0,0,0,1,0,1.21,1.04,1.13,1.11,0.84,1.26,1.08,1.08,1.05,0.91,0
100 Thieves,SoaR,0,0,0,1,0,0,1.26,1.08,1.08,1.05,0.91,1.21,1.04,1.13,1.11,0.84,0
SoaR,100 Thieves,0,1,0,0,0,0,1.21,1.04,1.13,1.11,0.84,1.26,1.08,1.08,1.05,0.91,1
Noble,TSM FTX,0,1,0,0,0,0,1.19,1.09,0.98,1.06,0.9,1.28,1.03,1.14,1.16,1.11,0
TSM FTX,Noble,1,0,0,0,0,0,1.28,1.03,1.14,1.16,1.11,1.19,1.09,0.98,1.06,0.9,0
